iter	RMSE
0	85.06860787
1	82.52035274
2	80.0486319
3	77.65108399
4	75.32562542
5	73.07002796
6	70.88220008
7	68.76005155
8	66.70173789
9	64.70528727
10	62.76884793
11	60.89062394
12	59.06887333
13	57.3019064
14	55.58808436
15	53.9258176
16	52.3135642
17	50.74982931
18	49.23316117
19	47.76215532
20	46.33544629
21	44.9517108
22	43.60966541
23	42.30806329
24	41.04566516
25	39.82137155
26	38.63400927
27	37.4824772
28	36.36570689
29	35.28266282
30	34.23234038
31	33.21376512
32	32.22599225
33	31.26810525
34	30.33921567
35	29.43846171
36	28.56500738
37	27.71804262
38	26.89678158
39	26.10046249
40	25.32834554
41	24.57971534
42	23.8538753
43	23.15015402
44	22.46789753
45	21.80647152
46	21.16526266
47	20.54369079
48	19.94114736
49	19.35708935
50	18.79097319
51	18.2422733
52	17.71047921
53	17.19509695
54	16.69564633
55	16.21166435
56	15.74271021
57	15.28832535
58	14.84810919
59	14.42162797
60	14.00850562
61	13.60833672
62	13.22076887
63	12.84541786
64	12.48195119
65	12.1300119
66	11.78927888
67	11.45943184
68	11.14016008
69	10.83116397
70	10.53215084
71	10.24285123
72	9.962973179
73	9.692247766
74	9.430425371
75	9.177259089
76	8.932504116
77	8.695923599
78	8.467294367
79	8.246379787
80	8.032975125
81	7.826868024
82	7.627864852
83	7.435749321
84	7.250333416
85	7.071448477
86	6.89889511
87	6.732490642
88	6.572077495
89	6.417494443
90	6.268557414
91	6.125113058
92	5.987005974
93	5.854089569
94	5.726201473
95	5.603207557
96	5.470748194
97	5.34286185
98	5.219621431
99	5.100955657
100	4.986683028
101	4.876534307
102	4.77057022
103	4.668730329
104	4.57086401
105	4.476707545
106	4.386170341
107	4.29934619
108	4.215988986
109	4.135928916
110	4.059069646
111	3.985373223
112	3.914764464
113	3.847130624
114	3.782382461
115	3.720480895
116	3.661283113
117	3.604615877
118	3.55040171
119	3.498583348
120	3.449083413
121	3.401910679
122	3.356820168
123	3.313820349
124	3.272864702
125	3.233769424
126	3.1966327
127	3.161215591
128	3.127509387
129	3.095444751
130	3.064989915
131	3.036052697
132	3.008564669
133	2.982313195
134	2.957400274
135	2.932636659
136	2.90836511
137	2.885329972
138	2.863455012
139	2.84276012
140	2.823055105
141	2.804501797
142	2.786900122
143	2.770206273
144	2.754325708
145	2.739279873
146	2.725042358
147	2.711553326
148	2.698631352
149	2.68650728
150	2.674920093
151	2.664021006
152	2.653656615
153	2.643971933
154	2.634785201
155	2.6261595
156	2.617910992
157	2.609442456
158	2.601457682
159	2.593870596
160	2.586749976
161	2.580023634
162	2.573516164
163	2.567421235
164	2.56171633
165	2.556233072
166	2.551057391
167	2.546077562
168	2.541562699
169	2.537109169
170	2.53290171
171	2.529062586
172	2.525307403
173	2.521879229
174	2.518475019
175	2.51527349
176	2.512325143
177	2.509568294
178	2.506633007
179	2.504046757
180	2.50164278
