iter	Passed	Remaining
0	134	134036
1	223	111392
2	280	93065
3	328	81787
4	449	89530
5	518	85878
6	576	81756
7	622	77130
8	686	75618
9	802	79481
10	850	76435
11	893	73587
12	978	74299
13	1047	73794
14	1142	74992
15	1231	75732
16	1292	74727
17	1332	72668
18	1383	71407
19	1452	71167
20	1513	70554
21	1570	69830
22	1651	70142
23	1711	69618
24	1773	69170
25	1826	68412
26	1898	68414
27	2020	70125
28	2114	70806
29	2176	70369
30	2228	69670
31	2276	68864
32	2333	68368
33	2388	67856
34	2488	68599
35	2559	68529
36	2641	68739
37	2697	68277
38	2741	67553
39	2811	67469
40	2929	68524
41	2992	68257
42	3064	68201
43	3130	68024
44	3181	67509
45	3231	67021
46	3288	66686
47	3342	66299
48	3399	65970
49	3437	65310
50	3475	64680
51	3521	64208
52	3579	63951
53	3618	63383
54	3656	62832
55	3698	62338
56	3743	61925
57	3806	61815
58	3844	61313
59	3897	61063
60	3933	60544
61	3981	60237
62	4043	60135
63	4099	59960
64	4149	59690
65	4205	59520
66	4270	59462
67	4306	59030
68	4342	58593
69	4396	58416
70	4483	58657
71	4535	58462
72	4590	58298
73	4649	58183
74	4687	57808
75	4736	57591
76	4786	57374
77	4824	57024
78	4862	56688
79	4903	56395
80	4960	56278
81	5002	56000
82	5043	55723
83	5093	55548
84	5194	55920
85	5372	57097
86	5454	57243
87	5504	57049
88	5545	56766
89	5590	56524
90	5636	56307
91	5723	56493
92	5815	56717
93	5882	56700
94	5971	56888
95	6052	56989
96	6206	57782
97	6270	57714
98	6326	57581
99	6379	57416
100	6427	57211
101	6511	57328
102	6568	57199
103	6630	57124
104	6700	57116
105	6747	56912
106	6802	56774
107	6869	56740
108	6941	56741
109	6998	56620
110	7104	56896
111	7183	56952
112	7282	57168
113	7371	57287
114	7452	57349
115	7529	57380
116	7579	57199
117	7639	57098
118	7679	56851
119	7737	56744
120	7845	56992
121	7906	56897
122	7960	56762
123	8016	56631
124	8128	56898
125	8219	57016
126	8294	57018
127	8353	56907
128	8423	56876
129	8470	56688
130	8515	56486
131	8555	56258
132	8603	56084
133	8686	56137
134	8755	56101
135	8818	56023
136	8895	56033
137	8972	56043
138	9048	56047
139	9144	56176
