iter	RMSE
0	85.06980755
1	82.52173666
2	80.05087447
3	77.65305332
4	75.32800471
5	73.07223156
6	70.88548739
7	68.76284848
8	66.70327885
9	64.70588204
10	62.76885252
11	60.8900585
12	59.06843768
13	57.30181535
14	55.58739673
15	53.92473442
16	52.31256302
17	50.74796021
18	49.22999585
19	47.75861179
20	46.33119676
21	44.94643492
22	43.60400808
23	42.30111696
24	41.03870216
25	39.81364553
26	38.62553881
27	37.47311441
28	36.35532633
29	35.2712249
30	34.21898112
31	33.19914392
32	32.21024132
33	31.25068639
34	30.3205087
35	29.41849187
36	28.543338
37	27.69424961
38	26.87147934
39	26.07377108
40	25.30002576
41	24.54947283
42	23.82172355
43	23.11633291
44	22.43229954
45	21.7684239
46	21.12473992
47	20.50116588
48	19.89668591
49	19.31059996
50	18.74176706
51	18.19018566
52	17.65591709
53	17.13722641
54	16.63446973
55	16.14765362
56	15.67536028
57	15.21752003
58	14.77453009
59	14.34454677
60	13.9275825
61	13.52386218
62	13.13309156
63	12.75372569
64	12.38613179
65	12.0307448
66	11.68589399
67	11.35251804
68	11.02858994
69	10.71488463
70	10.41128026
71	10.11707039
72	9.832362188
73	9.556686593
74	9.290320026
75	9.03277863
76	8.783313791
77	8.541202367
78	8.307874604
79	8.082181426
80	7.863925146
81	7.651747635
82	7.446399483
83	7.248584424
84	7.057143997
85	6.871845001
86	6.692884521
87	6.519696973
88	6.35285005
89	6.191494162
90	6.036630196
91	5.88646031
92	5.741096765
93	5.601081096
94	5.466075724
95	5.335649002
96	5.209951758
97	5.089124387
98	4.972517609
99	4.860394821
100	4.751878145
101	4.647549552
102	4.547139209
103	4.45079504
104	4.358121508
105	4.269310774
106	4.183898791
107	4.102636081
108	4.023771674
109	3.948024876
110	3.875466064
111	3.805705918
112	3.738844772
113	3.674788254
114	3.613797963
115	3.555269734
116	3.499153242
117	3.446005722
118	3.394950313
119	3.346028613
120	3.299766771
121	3.255117638
122	3.212635485
123	3.171773824
124	3.133876858
125	3.096827479
126	3.062447712
127	3.028800303
128	2.997321988
129	2.967306208
130	2.938767309
131	2.9112586
132	2.884821643
133	2.860776858
134	2.837273079
135	2.814666537
136	2.793410117
137	2.773404072
138	2.754007912
139	2.735938838
140	2.718775922
141	2.702445304
142	2.686860312
143	2.67226132
144	2.658222468
145	2.645504986
146	2.632883801
147	2.62100432
148	2.609870829
149	2.599290281
150	2.58888307
151	2.579696467
152	2.570888731
153	2.561979451
154	2.55396011
155	2.546526923
156	2.539260953
157	2.532726462
158	2.526500287
159	2.520525602
160	2.51466561
161	2.509219433
162	2.503925475
163	2.499213621
164	2.494495266
165	2.490254862
166	2.486311921
167	2.482568656
168	2.478743919
169	2.475418498
170	2.471961807
171	2.468753168
